Token,Item Name,Description,Category,SKU,Variation Name,Price,Enabled loc1<script>alert(3)</script>,Current Quantity loc1<script>alert(3)</script>,New Quantity loc1<script>alert(3)</script>,Stock Alert Enabled loc1<script>alert(3)</script>,Stock Alert Count loc1<script>alert(3)</script>,Price loc1<script>alert(3)</script>,Enabled loc2{{'3'*5}},Current Quantity loc2{{'3'*5}},New Quantity loc2{{'3'*5}},Stock Alert Enabled loc2{{'3'*5}},Stock Alert Count loc2{{'3'*5}},Price loc2{{'3'*5}},Modifier Set - modif,Modifier Set - bb1,Tax - tax<script>alert(10)</script> (3%)
MUS6JCD6X3B64NBNLXYLO4ZI,"Foobar"" onmouseover=location&#x3d;'javascript:alert\x28document.domain\x29'",Ttf,cat433,,Regular,4.00,Y,,,,,,Y,1,,N,0,,N,N,Y
WVBR2T2CE54BYC7REKIK6NZV,"Foobar"" onmouseover=location&#x3d;'javascript:alert\x28document.domain\x29'",,cat433,,"Foobar"" onmouseover=location&#x3d;'javascript:alert\x28document.domain\x29'",5.00,Y,,,,,,Y,2,,N,0,,N,N,Y
4X4UW4X4T2ATVOF7MKOB2RTN,Ipad<svg onload=prompt(2)>,Apple<script>alert(10)</script>,cat433,<script>alert(8)</scrip>,<script>alert(9)</scrip>,19.00,N,,,,,,Y,,,,,,Y,Y,Y
CDWMMXUTVL6PQI53K2WTK25K,Ipad<svg onload=prompt(2)>,,cat433,sd,df,12.00,N,,,,,,Y,,,,,,Y,Y,Y
X2WUJCIG6ROF4TFBADTMBHEU,item<svg onload=prompt(9)>,<script>alert(7)</script>,,,Regular,2.00,N,0,,,,,Y,9,,Y,1,,N,Y,Y
GHKLUCZ3XBU4NEJBHC2MPEEA,item2,descItems,test_items,,Regular,5.00,N,0,,,,,Y,97,,Y,10,,Y,N,Y
RFMNP6YATUWX5GKR762HVAJH,item22,,Beverages<>{}[]&%,,Regular,1.00,N,0,,,,,Y,11,,,,,N,N,Y
7ZNIOCW63R4DBTLTYQZB2IGB,item3,,test_items,,Regular,5.00,N,0,,,,,Y,-9,,,,,N,N,Y
6CACLP5SFLVFULJFVQ4PAPGF,locitem1,,cater21,,Regular,20.00,Y,12,,Y,2,,N,,,,,,N,N,Y
UZOHOFVJEBFCPISYDE7P4MST,locitem2,,cater21,,Regular,12.00,Y,10,,Y,2,,N,,,,,,N,N,Y
F6TLF5NMCY2LIUDNNZ4YYMHJ,Milkshake,It's better than yours,,123,Small,4.00,N,,,,,,Y,,,N,,,N,N,Y
MR3PJZ732PSD5LCVQQQWRPYF,Milkshake,It's better than yours,,123,Small,4.00,N,,,,,,Y,,,N,,,N,N,Y
SJVXUH5C3BOCEE4YXJQG7XN6,Milkshake,It's better than yours,,,Regular,2.00,Y,,,,,,Y,,,,,,N,N,Y
5C2RDAZUK2OOTSEF2P3ZOWGR,Milkshake<img src=1 onerror=alert(3)>,It's better than yours,cat433,,Regular,20.00,N,0,,,,,Y,6,,Y,1,,Y,N,Y
